Neighborhood,Street,Address1,Address2,Intersection,From,To,Permitee,Contractor,Permit,ProjectCategory,ConstructionNotes,WorkSchedule,ExpirationDate,EstimatedCompletionDate,RoadwayPlatesInUse,SidewalkPlatesInUse,Status,TrenchLength,ContactNumber,NumberofWorkZones,District
ROXBURY,ALPINE ST,3,,,,,National Grid,National Grid,EMER-661161,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 13 2017 12:00AM,May 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,ALPINE ST,3,,,,,National Grid,National Grid,EXCA-705667,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 29 2017 12:00AM,May 29 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,BETHUNE WAY,4,,,,,Unknown,Unknown,UNKNOWN,UNKNOWN,DISPUTE BETWEEN BHA AND BWSC ON WHO IS RESPONSIBLE FOR THE REPAIR / THE PLATE WAS PLACED TO PROTECT UNTIL RESOLVED,Days,Jul  1 2017 12:00AM,Aug  1 2017 12:00AM,1,0,PLATES PINNED & BERMED,,,1,10B
ROXBURY,BURKE ST,,,,,,The Welch Corp,The Welch Corp,EXCA-707840,SERVICE,INSTALLATION OF NEW SEWER AND DRAIN,Days & Weekends,Jun  4 2017 12:00AM,Jun  4 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-839-7682,1,10B
ROXBURY,CEDAR ST,0,,,,,J Derenzo,J Derenzo,EXCA-661950,SERVICE,INSTALLATION OF GEOTHERMAL TRANSMISSION LINES,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,,,ONGOING/SECTIONS TOPPED TO GRADE,,508-509-9592,1,10B
ROXBURY,COLUMBUS AV,744,,,,,Welch Corp,Welch Corp,EXCA-700341,SERVICE,WATER MAIN SERVICE,Days & Weekends,May 28 2017 12:00AM,May 28 2017 12:00AM,,,DOWN IN BINDER AWAITING TOP,,,1,10B
ROXBURY,COVENTRY ST,8,,COLUMBUS AV,,,Eversource Electric,Joseph Botti Co,EXCA-691712,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,2,,PLATES PINNED & BERMED,183,800-592-2000,1,10B
ROXBURY,CRAWFORD ST,40,,,,,National Grid,National Grid,EMER-665098,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,DIMOCK ST,55,,,,,Eversource Electric,Sheerin Construction,EXCA-703771,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10B
ROXBURY,DUDLEY ST,250,,,,,National Grid,Feeney Brothers Excavation,EXCA-591078,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,1,,PLATES PINNED & BERMED,1475,,1,10B
ROXBURY,DUDLEY ST,407,,,,,Eversource Electric,Riley Brothers,EXCA-704698,,,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10B
ROXBURY,DUDLEY ST,409,,,,,Comcast,P V Barone,EXCA-709480,MAINTENANCE,RELOCATE CONDUIT,Days & Weekends,Jun 17 2017 12:00AM,Jun 17 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-556-9979,1,10B
ROXBURY,ELM HILL AV,118,,,,,National Grid,National Grid,EXCA-657715,SERVICE,RELAY GAS SERVICE / ON HOLD,Days & Weekends,May  2 2017 12:00AM,May  2 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,EUSTACE ST,0,,,,,Eversource Electric,Mirra,EXCA-717100,,,Days & Weekends,Jun 23 2017 12:00AM,Jun 23 2017 12:00AM,2,0,PLATES PINNED & BERMED,,800-592-2000,1,10B
ROXBURY,FARNHAM ST,,,HAMPDEN,,,Brooksdale Construction,Brooksdale Construction,EXCA-703282,SERVICE,INSTALLATION OF NEW & SEWER,Days & Weekends,Jun 15 2017 12:00AM,Jun 15 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-719-7523,1,10B
ROXBURY,FOREST ST,2,78,,,,Boston Water & Sewer Commission,Albanese,EXCA-691767,NEW CONDUIT AND/OR MAIN,INSTALLATION OF NEW WATER MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul  7 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10B
ROXBURY,GASTON ST,23,,,,,National Grid,Bond Brothers,EXCA-527519,SERVICE,INSTALL GAS SERVICE,Days & Weekends,Jun 30 2017 12:00AM,Jun 30 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,GERARD ST,60,,,,,National Grid,National Grid,EXCA-,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May  3 2017 12:00AM,May  3 2017 12:00AM,2,0,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,GUILD ST,16,52,,,,National Grid,Feeney Brothers Excavation,EXCA-662938,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN/ON HOLD,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,,,ONGOING/SECTIONS TOPPED TO GRADE,550,877-304-1148,1,10B
ROXBURY,HAROLD ST,184,,,,,Comcast,PV Barone Corp,EXCA-708486,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,,,NO START,,800-556-9979,1,10B
ROXBURY,HOLWORTHY ST,79,,,,,Comcast,PV Barone,EMER-661269,EMERGENCY,CABLE FAILURE/SDWK ONLY,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-556-9979,1,10B
ROXBURY,HUMBOLDT AV,225,,,,,National Grid,Feeney Brothers Excavation,EXCA-692645,MAINTENANCE,ABANDON GAS MAIN,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,,,ONGOING/SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,HUMBOLDT AV,75,,,,,National Grid,National Grid,EMER-665061,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,HUMBOLDT AV,75,,,,,National Grid,National Grid,EMER-665080,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun  3 2017 12:00AM,Jun  3 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,KEMBLE ST,20,,,,,National Grid,Feeney Brothers Excavation,EXCA-708282,SERVICE,INSTALLATION OF NEW GAS MAIN,Days & Weekends,Jul 14 2017 12:00AM,Jul 14 2017 12:00AM,1,0,PLATES PINNED & BERMED,,877-304-1148,1,10B
ROXBURY,KERR WAY,31,,,,,National Grid,National Grid,EMER-665093,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,LINWOOD ST,10,,,,,Comcast,PV Barone,EMER-607559,EMERGENCY,CABLE FAILURE,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,857-919-9355,1,10B
ROXBURY,MASS AV,,,SOUTHAMPTON ST,,,Boston Water & Sewer Commission,BWSC,EMER-701434,EMERGENCY,SEWER REPAIR,Days & Weekends,May 19 2017 12:00AM,May 19 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,MAYWOOD ST,17,,,,,National Grid,National Grid,EXCA-698314,MAINTENANCE,ABANDON SERVICE,Days & Weekends,May 10 2017 12:00AM,May 10 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,10B
ROXBURY,MAYWOOD ST,24,,,,,Eversource Electric,Riley Brothers,EXCA-709464,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,Jun 16 2017 12:00AM,Jun 16 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10B
ROXBURY,MILLMONT ST,34,,,,,National Grid,National Grid,EXCA-715537,SERVICE,RELAY GAS MAIN,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,,,,,877-304-1148,1,10B
